capture_artist_project_title,week1,week2,week3,week4,week5,week6,week7,week8,week9,week10,week11,week12
IDK - IWASVERYBAD,267,54,36,19,13,6,5,8,7,16,24,15
LINA - R3BELLIN,337,94,59,83,43,53,91,62,28,40,25,25
BRIAN WILSON - BRIAN WILSON AND FRIENDS,77,56,49,34,26,37,24,18,10,11,6,12
THE CRANBERRIES - SOMETHING ELSE,4341,1159,545,385,222,179,143,118,108,113,104,115
SUPER FURRY ANIMALS - THE BEST OF,87,17,32,13,15,19,16,7,6,4,4,6
JACK SAVORETTI - SLEEP NO MORE,38,23,27,28,21,20,26,28,15,21,20,18
HINDER - THE REIGN,897,182,95,99,62,47,46,47,53,79,57,74
SILVERSTEIN - THE AFTERGLOW / AQUAMARINE,65,3,7,5,3,4,2,4,3,4,3,2
"DEATH SPELLS - NOTHING ABOVE, NOTHING BELOW",296,50,40,29,20,39,26,17,10,7,7,7
MICHAEL MCDONALD - WIDE OPEN,1705,332,260,189,186,142,149,147,143,81,48,52
VALLEYHEART - NOWADAYS,67,16,6,3,6,2,1,3,1,3,4,4
THE PRODIGY - NO TOURISTS,9937,2113,999,852,738,654,440,1250,679,391,519,282
KREATOR - TERRIBLE CERTAINTY,6,16,22,10,5,5,4,5,3,5,6,6
FEEDER - THE BEST OF,537,89,45,44,15,15,16,16,5,12,7,10
AMERICAN NIGHTMARE - AMERICAN NIGHTMARE,227,39,24,32,7,7,2,6,2,5,6,2
ELISE LEGROW - PLAYING CHESS,121,146,60,51,22,103,12,12,8,5,11,66
"EMERSON, LAKE & PALMER - BLACK MOON",17,9,4,6,7,5,2,3,2,2,3,3
THE GOSPEL YOUTH - ALWAYS LOSE,153,44,25,20,11,9,6,6,8,20,12,6
RICK ASTLEY - BEAUTIFUL LIFE,2419,1060,553,414,230,195,131,195,150,327,367,220
VARIOUS ARTISTS - RUDEBOY: THE STORY OF TROJAN RECORDS,34,3,4,4,7,5,4,2,3,4,4,1
AUSTIN MAHONE - FORME+YOU,2110,280,175,130,99,108,97,121,67,97,63,45
LP - LOST ON YOU,2737,1223,1004,723,1002,700,526,802,642,468,386,359
MARTINA MCBRIDE - HAPPY HOLIDAY/IT'S THE HOLIDAY SEASON,230,69,186,103,116,149,133,156,137,174,10,2
MIKE + THE MECHANICS - LET ME FLY,2933,846,424,308,183,157,176,175,170,170,390,210
THE KINKS - SOMETHING ELSE BY THE KINKS,197,14,4,6,14,5,3,5,7,3,4,4
MY INDIGO - MY INDIGO,804,190,100,72,53,36,35,15,28,24,34,23
ALBERT HAMMOND - IN SYMPHONY,250,215,62,35,13,16,13,11,16,13,13,10
HOLLYWOOD UNDEAD - FIVE,9472,1797,1043,1392,936,535,416,446,1018,611,450,286
LESLIE ODOM JR. - SIMPLY CHRISTMAS,639,413,497,444,1573,1757,1537,1111,806,48,21,8
"EMERSON, LAKE & PALMER - BRAIN SALAD SURGERY",25,12,17,27,21,20,31,33,25,172,192,68
KUBLAI KHAN - NOMAD,494,107,62,38,35,33,18,23,28,27,21,30
BLACK SABBATH - THE TEN YEAR WAR,16,13,14,16,5,16,4,10,10,8,9,18
BAD SUNS - DISAPPEAR HERE,1413,288,219,140,126,179,128,89,77,70,71,70
KATIE MELUA - IN WINTER (SPECIAL EDITION),170,97,49,65,94,91,79,30,14,14,6,9
RICHARD CLAYDERMAN - THE ABBA COLLECTION,10,4,2,3,3,5,7,4,2,3,4,4
HANSON - FINALLY IT’S CHRISTMAS,3635,712,666,803,1566,1740,1610,986,502,38,21,9
THE CROSSRHODES - FOOTPRINTS ON THE MOON,206,56,34,27,23,26,20,15,20,7,4,3
FIRE FROM THE GODS - NARRATIVE,699,481,367,299,245,187,145,158,122,117,111,95
"VARIOUS ARTISTS - THE DR. PACKER SALSOUL REWORKS, VOL. 2",55,25,27,12,12,16,10,6,11,8,8,10
ACCEPTANCE - COLLIDING BY DESIGN,1289,222,107,80,68,42,41,28,25,32,24,26
THE DAMNED - DAMNED DAMNED DAMNED,13,11,15,20,21,33,20,27,25,39,28,22
THE GLORIOUS SONS - YOUNG BEAUTIES AND FOOLS,12,24,31,23,13,16,15,19,33,23,17,22
GABRIELLE - UNDER MY SKIN,2007,334,211,91,75,55,71,92,32,113,51,39
