capture_artist_project_title,month1,month2,month3,month4,month5,month6,month7,month8,month9,month10,month11,month12
VARIOUS ARTISTS - EXTEND THE 80S - ALTERNATIVE,5,12,8,2,5,4,3,3,6,3,6,3
GOOD HARVEST - IN A LIFE AND PLACE LIKE THIS,37,80,15,16,27,13,97,14,16,69,14,11
"MOLOKO - ALL BACK TO THE MINE: VOL, 1: A COLLECTION OF REMIXES",29,15,20,12,15,15,10,5,18,7,14,12
HERCULES & LOVE AFFAIR - OMNION,459,52,62,51,25,19,10,8,6,6,6,8
RICHARD CLAYDERMAN - THE VERY BEST OF RICHARD CLAYDERMAN,141,147,140,116,108,118,143,125,113,120,105,91
MANDO DIAO - GOOD TIMES,2192,549,319,220,164,144,180,102,75,78,35,15
FIRST CHOICE - HOLD YOUR HORSES,4,1,5,5,2,7,3,4,4,5,2,2
MEMPHIS MAY FIRE - THIS LIGHT I HOLD,4742,1927,745,543,406,336,286,344,250,218,159,120
"MOLOKO - ALL BACK TO THE MINE, VOL. 2: A COLLECTION OF REMIXES",22,13,19,6,10,7,9,1,9,3,5,4
IRON MAIDEN - THE BOOK OF SOULS: LIVE CHAPTER,1250,220,97,65,53,30,23,28,30,22,24,16
THE GOSPEL YOUTH - ALWAYS LOSE,254,57,48,20,18,31,28,36,18,9,7,2
JOAN ARMATRADING - NOT TOO FAR AWAY,1281,278,128,118,170,136,35,37,22,16,25,9
NICKI & FREDDI / THE SIXTIES - KU'DAMM 59,1485,290,72,29,17,25,16,20,8,45,15,13
HOT WATER MUSIC - FINDING THE RHYTHMS,12,11,13,7,6,6,9,18,11,10,13,9
RICHARD CLAYDERMAN - FRENCH FAVOURITES,24,9,12,15,22,24,29,28,22,24,17,15
SAXON - DECADE OF THE EAGLE,1,40,22,18,14,9,6,7,7,7,7,14
VARIOUS ARTISTS - BABYLON BERLIN OST,550,413,183,490,302,159,126,86,98,86,316,1803
TAKE ME TO RIO COLLECTIVE - TAKE ME TO RIO,463,490,67,18,12,9,6,4,1,8,6,6
DEREZ DE’SHON - PAIN,104,154,232,190,148,80,44,46,61,32,30,28
GOLD - AU PALAIS DES SPORTS,15,8,8,7,5,6,9,6,3,7,14,8
JETHRO TULL - JETHRO TULL - THE STRING QUARTETS,884,348,89,67,372,51,45,94,37,34,36,46
GARY MOORE - BLUES AND BEYOND,330,497,302,222,176,153,107,103,94,78,79,72
ADVENTURE CLUB - RED // BLUE,2254,264,131,218,114,74,63,80,54,71,54,40
VARIOUS ARTISTS - THRASH METAL,1,3,1,2,5,2,7,5,6,4,5,2
NATURALLY 7 - BOTH SIDES NOW,89,25,11,9,7,15,4,19,5,12,5,3
EVANESCENCE - SYNTHESIS,18168,2215,1227,788,1318,811,623,711,1419,964,561,382
ELISE LEGROW - PLAYING CHESS,269,259,40,98,13,11,11,27,11,2,7,11
